mutant_id,module,disposition,reason
agents.analyst.domain.indicators.x_macd__mutmut_19,indicators,equivalent,"strict=None changes only zip mismatch checking; fast EMA and slow EMA series are aligned to the same length before zipping."
agents.analyst.domain.indicators.x_macd__mutmut_22,indicators,equivalent,"Omitting strict keeps Python zip truncation behavior, but the two MACD series have matched lengths by construction."
agents.analyst.domain.indicators.x_macd__mutmut_23,indicators,equivalent,"strict=False cannot change emitted pairs because the fast series is sliced to slow_series length first."
agents.analyst.domain.indicators.x_rsi__mutmut_7,indicators,killed,"RSI fixture asserts the exact period-plus-one seed window."
agents.analyst.domain.indicators_event.x_obv__mutmut_19,indicators_event,killed,"OBV drop fixture asserts the last bar subtracts current volume without peeking forward."
agents.analyst.domain.indicators_kernel.x_nadaraya_watson__mutmut_25,indicators_kernel,equivalent,"For valid n>=10, the last Gaussian weight is 1.0 and earlier weights are positive, so wsum is greater than 1.0; both zero and one guards are unreachable."
agents.analyst.domain.indicators_kernel.x_nadaraya_watson__mutmut_32,indicators_kernel,equivalent,"strict=None is shape-only here because weights and prices are both length n from the same selected window."
agents.analyst.domain.indicators_kernel.x_nadaraya_watson__mutmut_35,indicators_kernel,equivalent,"Dropping the strict keyword does not alter the weighted sum because every generated weight has exactly one price."
agents.analyst.domain.indicators_kernel.x_nadaraya_watson__mutmut_36,indicators_kernel,equivalent,"strict=False only disables mismatch checking; no mismatch can occur after prices=closes[-n:] and range(n) weights."
agents.analyst.domain.indicators_kernel.x_turnaround_signal__mutmut_8,indicators_kernel,killed,"Turnaround fixture asserts the Monday/Friday boundary before scanning prior bars."
agents.analyst.domain.indicators_kernel.x_turnaround_signal__mutmut_11,indicators_kernel,equivalent,"Offset 0 checks the already-validated Monday bar, cannot match Friday, then offsets 1 through 4 run unchanged."
agents.analyst.domain.indicators_kernel.x_turnaround_signal__mutmut_13,indicators_kernel,killed,"Previous-day fixture asserts Friday at offset one is accepted."
agents.analyst.domain.indicators_kernel.x_turnaround_signal__mutmut_14,indicators_kernel,killed,"Fourth-day fixture asserts the inclusive lookback boundary is accepted."
agents.analyst.domain.indicators_kernel.x_turnaround_signal__mutmut_15,indicators_kernel,killed,"Fifth-day fixture asserts the lookback does not reach past four prior sessions."
agents.analyst.domain.indicators_kernel.x_turnaround_signal__mutmut_21,indicators_kernel,killed,"Non-Friday-before-Friday fixture asserts intervening non-Friday bars do not satisfy the signal."
agents.analyst.domain.indicators_kernel.x_turnaround_signal__mutmut_22,indicators_kernel,killed,"Non-Friday fixture pins the weekday comparison."
agents.analyst.domain.indicators_kernel.x_turnaround_signal__mutmut_23,indicators_kernel,killed,"Non-Friday fixture asserts only Friday in the scan window can qualify."
agents.analyst.domain.indicators_kernel.x_turnaround_signal__mutmut_24,indicators_kernel,killed,"Equal-close fixture asserts strict positive return into Monday."
agents.analyst.domain.indicators_pattern._double_pattern__mutmut_9,indicators_pattern,killed,"Double-top fixture rejects a short peak-to-peak gap."
agents.analyst.domain.indicators_pattern._double_pattern__mutmut_10,indicators_pattern,killed,"Double-top fixture asserts the minimum separation boundary."
agents.analyst.domain.indicators_pattern._double_pattern__mutmut_19,indicators_pattern,killed,"Double-top fixture rejects a neckline break at the exact boundary."
agents.analyst.domain.indicators_pattern._double_pattern__mutmut_49,indicators_pattern,killed,"Double-bottom fixture rejects a short trough-to-trough gap."
agents.analyst.domain.indicators_pattern._double_pattern__mutmut_50,indicators_pattern,killed,"Double-bottom fixture asserts the minimum trough separation."
agents.analyst.domain.indicators_pattern._double_pattern__mutmut_59,indicators_pattern,killed,"Double-bottom fixture rejects the exact resistance boundary."
agents.analyst.domain.indicators_pattern._matching_swings__mutmut_4,indicators_pattern,killed,"Matching-swings fixture asserts exact tolerance is open, not closed."
agents.analyst.domain.indicators_pattern._shoulder_pattern__mutmut_21,indicators_pattern,killed,"Head-and-shoulders fixture pins the left-shoulder predicate."
agents.analyst.domain.indicators_pattern._shoulder_pattern__mutmut_22,indicators_pattern,killed,"Head-and-shoulders fixture pins the head predicate."
agents.analyst.domain.indicators_pattern._shoulder_pattern__mutmut_23,indicators_pattern,killed,"Head-and-shoulders fixture pins the right-shoulder predicate."
agents.analyst.domain.indicators_pattern._shoulder_pattern__mutmut_24,indicators_pattern,killed,"Head-and-shoulders fixture pins the neckline comparison."
agents.analyst.domain.indicators_pattern._shoulder_pattern__mutmut_25,indicators_pattern,killed,"Head-and-shoulders fixture asserts all break terms are required together."
agents.analyst.domain.indicators_pattern._shoulder_pattern__mutmut_52,indicators_pattern,killed,"Inverse head-and-shoulders fixture pins the left-trough predicate."
agents.analyst.domain.indicators_pattern._shoulder_pattern__mutmut_53,indicators_pattern,killed,"Inverse head-and-shoulders fixture pins the head trough predicate."
agents.analyst.domain.indicators_pattern._shoulder_pattern__mutmut_54,indicators_pattern,killed,"Inverse head-and-shoulders fixture pins the right-trough predicate."
agents.analyst.domain.indicators_pattern._shoulder_pattern__mutmut_55,indicators_pattern,killed,"Inverse head-and-shoulders fixture pins the breakout comparison."
agents.analyst.domain.indicators_pattern._shoulder_pattern__mutmut_56,indicators_pattern,killed,"Inverse head-and-shoulders fixture asserts all inverse break terms are required."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_10,indicators_pattern,killed,"Triangle fixture asserts recent swing highs are selected."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_17,indicators_pattern,killed,"Triangle fixture asserts recent swing lows are selected."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_21,indicators_pattern,killed,"Triangle fixture pins the rising-low predicate."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_22,indicators_pattern,killed,"Triangle fixture asserts strict rising low ordering."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_23,indicators_pattern,killed,"Triangle fixture pins the ascending triangle classification."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_30,indicators_pattern,killed,"Triangle fixture asserts the ascending signal confidence."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_31,indicators_pattern,killed,"Triangle fixture asserts the final pattern name for ascending setups."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_32,indicators_pattern,killed,"Triangle fixture asserts the returned score for ascending setups."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_36,indicators_pattern,killed,"Triangle fixture pins the descending high predicate."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_43,indicators_pattern,killed,"Triangle fixture asserts strict falling high ordering."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_44,indicators_pattern,killed,"Triangle fixture pins the descending triangle classification."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_45,indicators_pattern,killed,"Triangle fixture asserts the descending signal confidence."
agents.analyst.domain.indicators_pattern._triangle_pattern__mutmut_46,indicators_pattern,killed,"Triangle fixture asserts the returned score for descending setups."
agents.analyst.domain.indicators_pattern.x_find_swing_points__mutmut_31,indicators_pattern,killed,"Swing-filter fixture asserts the last close, not the previous close, is the percentage anchor."
agents.analyst.domain.indicators_pattern.x_find_swing_points__mutmut_32,indicators_pattern,killed,"Zero-last-close fixture asserts empty swing sets remain empty."
agents.analyst.domain.indicators_pattern.x_find_swing_points__mutmut_35,indicators_pattern,killed,"Zero-last-close fixture asserts detected swings are returned unfiltered."
agents.analyst.domain.indicators_pattern.x_geometric_patterns__mutmut_6,indicators_pattern,killed,"Geometric-pattern fixture asserts the exact twenty-bar minimum window."
agents.analyst.domain.indicators_pattern.x_geometric_patterns__mutmut_23,indicators_pattern,killed,"Geometric-pattern fixture asserts swing percentage is converted to the exact tolerance."
agents.analyst.domain.indicators_range._true_ranges__mutmut_16,indicators_range,killed,"True-range fixture asserts the previous-close gap participates in the max calculation."
agents.analyst.domain.indicators_range.x_choppiness__mutmut_2,indicators_range,killed,"Short-series fixture asserts well-below-period input returns None."
agents.analyst.domain.indicators_range.x_choppiness__mutmut_16,indicators_range,killed,"Full-window fixture asserts the high-low range uses the exact trailing period."
agents.analyst.domain.indicators_range.x_choppiness__mutmut_19,indicators_range,killed,"Zero-true-range fixture asserts the undefined choppiness path returns None."
agents.analyst.domain.indicators_range.x_choppiness__mutmut_21,indicators_range,killed,"Range-one fixture asserts positive true range over a unit high-low span is valid."
agents.analyst.domain.indicators_range.x_choppiness__mutmut_23,indicators_range,killed,"True-range-sum-one fixture asserts the exact logarithmic choppiness value."
agents.analyst.domain.recommend.x_decide__mutmut_27,recommend,wording-exclusion,"Only wraps the rationale phrase ""gate on its composite technical score (RSI, MACD, Bollinger, "" with XX markers; structured action, confidence, scores, and risk fields are unchanged."
agents.analyst.domain.recommend.x_decide__mutmut_28,recommend,wording-exclusion,"Only lowercases the rationale phrase ""RSI, MACD, Bollinger""; structured recommendation payload is unchanged."
agents.analyst.domain.recommend.x_decide__mutmut_29,recommend,wording-exclusion,"Only uppercases the rationale phrase ""gate on its composite technical score (RSI, MACD, Bollinger, ""; numeric scores and gates are unchanged."
agents.analyst.domain.recommend.x_decide__mutmut_30,recommend,wording-exclusion,"Only wraps the rationale phrase ""SMA-200 distance, and EMA crossover)."" with XX markers; decision fields are unchanged."
agents.analyst.domain.recommend.x_decide__mutmut_31,recommend,wording-exclusion,"Only lowercases the rationale phrase ""SMA-200 distance, and EMA crossover).""; no score, boolean, or risk value changes."
agents.analyst.domain.recommend.x_decide__mutmut_32,recommend,wording-exclusion,"Only uppercases the rationale phrase ""SMA-200 distance, and EMA crossover).""; the recommendation contract remains identical."
agents.analyst.domain.recommend.x_decide__mutmut_34,recommend,killed,"Recommendation fixture asserts the exact action in the structured payload."
agents.analyst.domain.recommend.x_decide__mutmut_35,recommend,killed,"Recommendation fixture asserts the exact confidence value."
agents.analyst.domain.recommend.x_decide__mutmut_36,recommend,killed,"Recommendation fixture asserts the technical score field."
agents.analyst.domain.recommend.x_decide__mutmut_37,recommend,killed,"Recommendation fixture asserts the fundamental score field."
agents.analyst.domain.recommend.x_decide__mutmut_38,recommend,killed,"Recommendation fixture asserts the sentiment score field."
agents.analyst.domain.recommend.x_decide__mutmut_39,recommend,killed,"Recommendation fixture asserts the stop-loss percentage."
agents.analyst.domain.recommend.x_decide__mutmut_41,recommend,wording-exclusion,"Only changes the append semantics for rationale text "" and a fundamental score of {score.fundamental_score:.3f}""; structured fundamental_score remains asserted."
agents.analyst.domain.recommend.x_decide__mutmut_43,recommend,killed,"Recommendation fixture asserts the target percentage."
agents.analyst.domain.recommend.x_decide__mutmut_48,recommend,wording-exclusion,"Only changes the append semantics for rationale text "" and a news-sentiment score of {score.sentiment_score:.3f}""; structured sentiment_score remains asserted."
agents.analyst.domain.recommend.x_decide__mutmut_50,recommend,killed,"Recommendation fixture asserts structured evidence references."
agents.analyst.domain.recommend.x_decide__mutmut_69,recommend,killed,"Recommendation fixture asserts sorted quant metrics."
agents.analyst.domain.recommend.x_decide__mutmut_79,recommend,killed,"Recommendation fixture asserts the complete risk/reward payload."
agents.analyst.domain.technical_rules.x_score_macd__mutmut_13,technical_rules,killed,"MACD boundary fixture asserts the zero-signal line uses the neutral boundary."
agents.analyst.domain.technical_rules.x_score_macd__mutmut_14,technical_rules,killed,"MACD boundary fixture asserts a negative MACD line with zero signal maps to the expected score."
agents.analyst.domain.technical_rules._momentum_scores__mutmut_49,technical_rules,killed,"Momentum fixture asserts the MACD score comes from the MACD line metric."
agents.analyst.domain.technical_rules_event.x_event_indicator_scores__mutmut_30,technical_rules_event,killed,"Event-score fixture asserts a false golden-cross value contributes exactly zero."
agents.analyst.domain.technical_rules_pattern.x_pattern_indicator_scores__mutmut_30,technical_rules_pattern,killed,"Pattern payload fixture asserts the exact geometric pattern score."
agents.analyst.domain.technical_rules_pattern.x_pattern_indicator_scores__mutmut_43,technical_rules_pattern,killed,"Turnaround payload fixture asserts the true turnaround score."
agents.analyst.domain.technical_rules_pattern.x_pattern_indicator_scores__mutmut_44,technical_rules_pattern,killed,"Pattern payload fixture asserts the exact turnaround metric name."
agents.analyst.domain.technical_rules_pattern.x_pattern_indicator_scores__mutmut_45,technical_rules_pattern,killed,"Turnaround payload fixture asserts the exact true/false turnaround value."
agents.analyst.domain.technical_rules_range.x_score_stochastic__mutmut_3,technical_rules_range,killed,"Stochastic boundary fixture asserts 19 below 20 remains oversold-positive."
agents.analyst.domain.technical_rules_range.x_score_stochastic__mutmut_9,technical_rules_range,killed,"Stochastic boundary fixture asserts 81 above 80 remains overbought-negative."
agents.analyst.domain.technical_rules_range.x_range_indicator_scores__mutmut_37,technical_rules_range,killed,"Range payload fixture asserts the stochastic percent-k score."
agents.analyst.domain.technical_rules_range.x_range_indicator_scores__mutmut_42,technical_rules_range,killed,"Range payload fixture asserts the stochastic percent-d score."
agents.analyst.domain.technical_rules_range.x_range_indicator_scores__mutmut_55,technical_rules_range,killed,"Range payload fixture pins the stochastic percent-k metric name."
agents.analyst.domain.technical_rules_range.x_range_indicator_scores__mutmut_56,technical_rules_range,killed,"Range payload fixture pins the stochastic percent-k value."
agents.analyst.domain.technical_rules_range.x_range_indicator_scores__mutmut_69,technical_rules_range,killed,"Range payload fixture pins the stochastic percent-d metric name."
agents.analyst.domain.technical_rules_range.x_range_indicator_scores__mutmut_70,technical_rules_range,killed,"Range payload fixture pins the stochastic percent-d value."
